親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
カ	*¹	ka			名詞	これ	
カ	*¹	ka	カレティ	kaleti	形容詞	この	
カ	*²	ka	カレティ	kaleti	数詞	2つの　　備考：他の数詞の直後でのみ用いられる	
カイㇷ゚ペ		KAIPPE			名詞	カイッペ【助処】（地名）	
カウナ		KAUNA			名詞	カウナ【刀水】（地名）	
カカ		kaka			名詞	ヴェフィス本島、新島【父島】（地名）	
カㇰ		KAK			名詞	価値	
カジカ		kadxika			名詞	カジカ、カズィカ【筆座】（人名）	
カズィカ		kasika			名詞	カジカ、カズィカ【筆座】（人名）	
カㇲクレメイㇳ		KACKULEMEIT			他動詞	～を自慢する、～を見せびらかす	
カセイㇳ		KACEIT			他動詞	～を示す、～を見せる、～（カードなど）を出す	
カダ	*	kada			形容詞	汚れた、崩れた、俗な、負け組の	
カダ	*	kada	カダ リネパイネ	kada linepaine	名詞	「崩れたリパライン語」（東島通商語に対する蔑称）	
カディテピㇳ		KADITEPIT			他動詞	～を二分する	
カトゥ		katu			名詞接続詞	ガートゥ、カトゥ【之子】（人名構成要素）	
ガトゥ		gatu			名詞接続詞	ガートゥ、ガトゥ【之子】（人名構成要素）	
カニスィティ		KANICITI			動詞	有名な、人気がある	
カパ		kapa			名詞	光	
カベ		kabe			名詞	イノシシ、猪	
カポト		KAPOTO			名詞	こっち側、こちら	
カムㇳ		kamut			名詞	ブリェーシャン島【大月島】（地名）	
カメ	*	kame			名詞	なに、どれ	
カメ	*	kame			形容詞	何の	
カㇽツァネ		kalzane			名詞	最近、近頃	
カワキヤ		kawakija			名詞	ヴェフィス本島、新島【父島】（地名）	
カンキレ		KANKILE			動詞	一時的だ	
カンテ	*	kante			名詞	筆記具、表記	
カンテ	*	kante	カンテイㇳ	kanteit	他動詞	～を書く、～を著す	
カンテ	*	kante	カンテ キイェ	kante kije	動詞	読む	
カンテ	*	kante	カンテ トゥデ	kante tude	動詞	書く	
カンテ	*	kante	カンテ ヨ ヌㇽ	kante jo nul	動詞	慣れる	
カンティ		kanti	カンティ キイェ	kanti kije	動詞	勉強する、自習する	
カンテㇽ	*	kantel			名詞	本、書籍、表現、意味	
カンテㇽ	*	kantel	カンテリㇳ	kantelit	他動詞	～を書く、～を著す	
カンピトレ		KANPITOLE			名詞	上層部、上司	
キイェ		kije			後置助動詞	主語へ向かう動作の方向を示す	
キエ		kie			形容詞	急ぎの	
キタイトゥワ		KITAITUWA			名詞	キタイトゥワ【百果】（地名）	
キヌンツァ	*	KINUNZA			動詞	公開する、開示する	
キヌンツァ	*	KINUNZA	キヌンツァイㇳ	KINUNZAIT	他動詞	～を公開する、～を開示する	
キヤスィヤ		KIJACIJA			名詞	キヤシヤ【心古】（地名）	
キヤベツ		kijabezu			名詞	心圧（ラネーメの伝統宗教・皇論における概念）	
キレ		kile			動詞	来る	
キン	*	kin			名詞	値、数、点数	
キン	*	kin			動詞	（〖kin jo [1]〗の形で）数が 〖[1]〗 にのぼる、数が 〖[1]〗 に達する	
キン	*	kin	キンピㇳ	kinpit	他動詞	～を数える	
キンペセラ		KINPECELA			名詞	得点システム、（会社などでの）評価制度	
キンルヨㇳ		KINLUJOT			名詞	数を表す文字としての数字	
クコㇽ		KUKOL			名詞	経済	
クスィイェ		KUCIJE			名詞	樹脂	
クㇲテ		kucte			名詞	弓兵、セッカイクの弓の駒	
クㇲトゥ		kuctu			名詞	弓	
クティヤ		kutija			名詞	クティヤ【車馬】（行政区画名）	
クネ		kune	クネレティ	kuneleti	形容詞	見覚えがある、聞きなれている	
クラヌㇲタ		KULANUCTA			名詞	記事、段落	
クランテ		kulante			名詞	本、書籍	
クロㇲ		kuloc			名詞	クレオス	
クワ	*	kuwa			名詞	（セッカイクの）筆	
クワ	*	kuwa			名詞	クワ、クヮ【筆】（人名）	
クワケ		KUWAKE			名詞	クワケ【筆処】（地名）	
クンスㇰ		kuncuk			名詞	部下	
クンラネㇽ		KUNLANEL			名詞	食べ物	
クンラン		kunlan	クンラニㇳ	kunlanit	動詞	食べる、食う、飲む、吸う	
ケㇲテネ		kectene			名詞	大学	
ケㇲテネベㇽ		kectenebel			名詞	大学院	
ケソ	*	keco			間投詞	たとえば	
ケソ	*	keco			前置助動詞	たとえば	
ケソ	*	keco			前置詞	たとえば	
ケタスカ		ketacuka			名詞	ケタズカ、ケタスカ【善人】（人名）	
ケティㇷ゚		KETIP			名詞	鳥	
ケヌレシュㇳ		KENULEXUT			名詞	人差し指	
ケバラ		KEBALA			動詞	かっこいい	
ケルㇲ		keluc			名詞	遊戯大会	
ケㇽツァ		kelza			名詞	波	
コㇲリヤ		koclija			名詞	難民	
コナㇽ		konal			名詞	橋	
コㇷ゚ツォ		kopzo			名詞	手駒、手札、手牌	
コヨウィ		kojowi			動詞	疲れる	
コルシャン		koluxan			名詞	コールーシャム、コルシャン【此下】（人名）	
コンベㇲ		konbec			名詞	フロン・ビェーイシュ島【豊民島】（地名）	
コンラベㇽ		KONLABEL			名詞	揃ったもの、一式、セット	
