親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
サイ		cai			名詞	（ゲームの）ラウンド	
サウㇷ゚ラ		caupla			名詞	王	
ササ		CACA			名詞	蘭	
サスィヤ		cacija			名詞	姉	
サㇲケ		CACKE			名詞	日常、暮らし	
サナ		cana			形容詞	1000個の、千の	
サラ		cala			間投詞	こんにちは	
サラワ		calawa			間投詞	こんにちは	
サワキㇳ		cawakit			他動詞	～（どんぐりなど）を渋抜きする、～（文章）を読みやすく整える	
サンシェン	*	CANXEN			名詞	種	
サンシェン	*	CANXEN	サンシェニㇳ	CANXENIT	動詞	種をまく、(物を)散布する	
シイェ		xije			名詞	（セッカイクの）車	
シェカㇲ		xekac			名詞	朗報、吉報、良い知らせ	
シェキㇳ		xekit			他動詞	～を失う	
シェクメㇽ		XEKUMEL			名詞	こども	
シェディシェㇽ		xedixel			名詞	棒、軸	
シェドゥㇲ		XEDUC			名詞	黄金	
シェㇷ゚	*	xep			形容詞	大きい	
シェㇷ゚	*	xep	シェㇷ゚ ウ	xep u	名詞	シェノネン・ウー（リパーシェの文字名）	
シェㇷ゚	*	xep	シェピㇳ	XEPIT	動詞	大きくする、拡張する	
シェㇷ゚	*	xep	シェㇷ゚ シェㇷ゚	XEP-XEP	形容詞	膨大な、莫大な、途方もない	
シェㇷ゚シェㇽ		XEPXEL	シェプシェリㇳ	XEPXELIT	他動詞	尊敬する	
シェプドㇲ		xepudoc			名詞	柵、垣根	
シェㇷ゚ラタ		xeplata			名詞	（ゲームの）親	
シェㇷ゚レシュㇳ		XEPLEXUT			名詞	親指	
シェペㇲネ		xepecne			名詞	大きさ	
シェㇽ	*	xel			名詞	視線、（駒の）効き	
シェㇽ	*	xel	シェリㇳ	XELIT	他動詞	～を見る	
シェㇽ	*	xel	シェリㇳ トゥデ	XELIT TUDE	他動詞	～を調べる	
シェㇽ	*	xel	シェリㇳ キイェ	XELIT KIJE	他動詞	～を発見する	
シェン		xen	シェンレティ	xenleti	数詞	7個の	
シェンカレティ		xenka	シェンカレティ	xenkaleti	数詞	7個の	
シェンカン		xenkan	シェンカニㇳ	xenkanit	他動詞	～を無視する	
シツィ		xizi			名詞接尾辞	～さん	
シネㇷ゚		XINEP			名詞	床	
シバㇲケ		xibacke			名詞	後半	
シバㇲケラタ		xibackelata			名詞	（ゲームの）後手	
シパユ		xipaju			名詞	凹み	
シピヤウ		XIPIJAU			動詞	巧妙な、洗練された、意匠がこらされた	
シポンテ		xiponte			名詞	前半	
シポンテラタ		xipontelata			名詞	（ゲームの）先手	
シャイマイ		XAIMAI			名詞	四角形	
シャㇲティイェ		XACTIJE			名詞	補給	
シャセ	*	xace			間投詞	ありがとう	
シャセ	*	xace	シャセイㇳ	xaceit	他動詞	～を感謝する	
シャドザンマ		xadosamma			名詞	シャードザンマー（人名）	
シャナ		xana			数詞	100個の、百の	
シャネ		xane	シャネレティ	xaneleti	形容詞	面白い	
シャル		XALU	シャルイㇳ	XALUIT	動詞	着用する、装備する、身に着ける	
シャㇽワ		XALWA			名詞	服、衣服	
シャレ	*	XALE			動詞	似ている	
シャレ	*	xale			間投詞	～のような	
シャン		xan			名詞	将（セッカイク）	
シャンタ		xanta	シャンタレティ	xantaleti	数詞	6個の	
シユ		xiju			名詞	投げ棒	
シュカメノㇲケ		xukamenocke			名詞	シュカメニョーイシュケ島【広島】（地名）	
シュケパロㇲ		xukepaloc			名詞	シュケープラローシュ島【蜜石島】（地名）　　　　　備考：〖xukepalox〗とも綴る	
シュスィ		XUCI			名詞	車、車両	
シュㇳツェン		XUTZEN			名詞	工業	
シュリㇷ゚		XULIP			名詞	工場	
ショㇳ		xot			名詞	（ゲームにおける）季節	
ショペ		xope			前置助動詞	も	
ショベイェㇽ		XOBEJEL			名詞	拳、握り拳、拳骨	
ション	*	xon			形容詞	奇妙である、特殊である、変わっている	
ション	*	xon			前置助動詞	奇妙にも、例外的に	
シレヤ		XILEJA			名詞	オモテ	
シワイツァ		XIWAIZA			名詞	シワイツァ【裁将広】（地名）	
ス	*	cu			名詞	金銭	
ス	*	cu	スイㇳ キイェ	cuit kije	他動詞	売る	
ス	*	cu	スイㇳ トゥデ	cuit tude	他動詞	買う	
スィ		ci			名詞	それ、かれ、あれ	
スィキナイㇳ		CIKINAIT			他動詞	～（困難）を避ける	
スィキリオティイェ		cikiliotije			名詞	スキュリオーティエ叙事詩（著名な叙事詩）	
スィㇰ		cik			後置助動詞	～やすい、簡単に	
スィケセン		CIKECEN			名詞	端、終点	
スィシェㇽ		CIXEL			動詞	掛かる、垂れる、ぶらさがる	
スィㇲトゥㇲ		cictuc			名詞	虎、セッカイクの虎の駒	
スィテノ		CITENO			名詞	一人、孤独	
スィテン		CITEN	スィテンレティ	CITENLETI	形容詞	孤独な、一人の	
スィヌㇰ		cinuk			名詞	キク（菊）	
スィポト		CIPOTO			名詞	あっち側、あちら、そっち側、そちら	
スィユユㇲテリㇳ		cijujuctelit			他動詞	～を集める、～を収集する	
スィラ	*	cila			名詞	真実、事実	
スィラ	*	cila			間投詞	本当に（文の内容を強調する語）	
スィラ	*	cila	スィラ スィラ	cila-cila	間投詞	なるほど	
スィㇽ		CIL			名詞	合わせた両手	
スィㇽシャラㇷ゚		cilxalap			名詞	スィールジャーラフ、スィルシャラプ（人名）	
スィレヤ		cileja			名詞	オモテ	
スウェロ		cuwelo			名詞	丸	
スウォネㇽ		CUWONEL			名詞	提案	
スクラㇽ		cukulal			名詞	絵、図	
スㇲ		CUC			名詞	練ったもの、ペースト	
ススィタㇽ		CUCITAL			名詞	中央	
ススィㇳ	¹	cucit			名詞	虎	
ススィㇳ	²	cucit			名詞	中央	
スㇲトティㇳ		cuctotit			他動詞	～を妨害する、～を妨げる、～を邪魔する	
スㇲニㇳ		CUCNIT			他動詞	～を掛け算する	
スㇲニヤマㇲ		cucnijamac			名詞	掛け算	
スㇲペツェン		cucpezen			名詞	直線	
スセン		cucen			名詞	重さ、ステュズェン（質量の単位）	
スタピヨㇳ		cutapijot			名詞	箱	
ステウェン		CUTEWEN			形容詞	平らな	
スㇳ		cut			動詞	強い	
スネㇳ		cunet	スネㇳレティ	cunetleti	形容詞	強い	
スネネㇰ		cunenek			名詞	日	
スネン		cunen			動詞	喜ぶ	
スベㇽピㇲ		CUBELPIC			名詞	賭博	
スポイ		cupoi			名詞	木	
スポイセㇳ		cupoicet			名詞	森	
スラウン		CULAUN			動詞	寝る	
スㇽ		cul			名詞	方法、道具	
スルㇷ゚		culup			形容詞	恨めしい	
スワ		CUWA			名詞	円錐	
スン		cun			動詞	いつもある	
セケㇽ		CEKEL			名詞	報酬、配当	
セコラタ		cekolata			名詞	裏切者	
セシェ		CEXE			名詞	立方体	
セシェシユ		CEXEXIJU			名詞	立方体サイコロ	
セスィヨ		cecijo			名詞	間	
セㇲティㇳ		CECTIT			他動詞	～を切る	
セㇲティㇽ		CECTIL			名詞	ハサミ	
セㇲヌティㇳ		cecnutit			他動詞	～を守る	
セㇲパ		cecpa			動詞	ギッシリ詰まっている、一杯に詰まっている	
セスㇷ゚		CECUP			名詞	形、形状	
セセ		cece			動詞	跳ねる	
ゼティヤ		setija			名詞	ズィエーティヤ、ゼティヤ（人名）	
セティレ		CETILE			名詞	角、隅	
セㇳ	*	cet			名詞接尾辞	多数性を示す接辞	
セㇳ	*	cet			前置助動詞	とても	
セㇳ	*	cet	セティㇳ	cetit	他動詞	～を増やす	
セㇳ	*	cet	セㇳレティ	cetleti	形容詞	多くの	
セㇳカイㇰ		cetkaik			名詞	セッカイク（ボードゲーム名）	
セナ		cena			数詞	10000個の、万の	
セネ		cene			前置助動詞	～できる	
セノスィㇳ		CENOCIT			他動詞	～を聞く	
セノㇲティㇳ		cenoctit			他動詞	～を聞く	
セノティㇳ		CENOTIT			他動詞	～を聞く	
セパㇳ		cepat			名詞	種類	
セㇷ゚		cep			名詞	政府、省	
セㇷ゚クランテ		cepkulante			名詞	ルールブック、ルール	
セㇷ゚ラタ		CEPLATA			名詞	役人	
セモコ	*	cemoko			名詞	踏越え（セッカイク）	
セモコ	*	cemoko			動詞	踏越えする（セッカイク）	
セモコ	*	cemoko	セモコイㇳ	cemokoit	他動詞	～を踏越えする（セッカイク）	
セラ		cela			名詞	構造	
セラユムㇲ		CELAJUMUC			名詞	工事	
セルㇷ゚		CELUP			名詞	肩	
セルン		CELUN			名詞	子供	
セレㇲタㇽ		celectal			名詞	一方、片方	
セレネ		celene			前置助動詞	～したい、～したがる	
ソ	*	co			名詞	あなた	
ソ	*	co	ソレティ	coleti	形容詞	あなたの	
ソシェㇳ		coxet			動詞	青い	
ソドゥ		codu			動詞	彫る、彫刻を作る	
ソドゥㇽ		CODUL	ソドゥリㇳ	CODULIT	他動詞	(〖codulit [1] jo [2]〗の形で)　　　　 〖[1]〗 という模様を〖[2]〗 に彫る	
ソニㇲ		CONIC			名詞	植物	
ソロ		COLO	ソロイㇳ	COLOIT	他動詞	～を投げる、～を投擲する	
