親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
タウポ		taupo			名詞	タウポ【端】（都市名）	
タカメク		takameku			名詞	天恵、タム神の恩恵	
タカン		takan			名詞	タカン【皇】（言語・民族名）	
タサㇰ		tacak			名詞	タザク、タサク【皇来】（人名）	
タシュ		taxu			名詞	遺跡	
タショㇳ		taxot			名詞	（セッカイクの）終季、タショト	
タスィク		taciku			名詞	防具	
タㇲテㇽ		tactel	タㇲテリㇳ	tactelit	他動詞	～を決める、～を決定する、～を選ぶ、～を選択する	
タタ	*	tata			動詞	楽しい	
タタ	*	tata			前置助動詞	楽しんで	
ダㇳ		dat			名詞	郡、（ゲームの）役	
タヌㇳ		tanut			名詞	タヌト【皇下】（都市名）	
ダパㇽ		dapal	ダパㇽレティ	dapalleti	形容詞	カッコいい、クールな	
タㇷ゚		tap			名詞	ターフ、タプ（人名）	
タㇷ゚タ		TAPTA			名詞	タフター（国名）	
タプタ		TAPUTA			名詞	タフター（国名）	
ダラㇰ		dalak	ダラキㇳ	DALAKIT	他動詞	～を処刑する、～を罰する
タㇽテ		talte			名詞	タルテの石（宝石の一種。トパーズに似る。）	
タン	*	tan			名詞	タム神（神を統括する神）、（セッカイクの）タム【皇】	
タン	*	tan	タン レティ デㇲ	tan leti dec	名詞	タムカラー（深い緑色）	
ダンカ		danka	ダンカレティ	dankaleti	形容詞	立体的である	
タンケ		tanke			名詞	タンケ【皇処】（セッカイク）	
タンシェㇽマ		tanxelma			名詞	タムシエルミワ島【皇月島】（地名）	
タンスㇰ		tancuk			名詞	タムツイの宗教従事者、（セッカイクの）巫	
タンツウィ		tamzuwi			名詞	タムツイ	
タンツォ		tanzo			名詞	（セッカイクの）皇山	
タンデㇲ		tandec			名詞	タムカラー（深い緑色）	
タンナ		tanna			名詞	タンナ【皇水】（地名およびセッカイク用語）	
ツァイ		ZAI			名詞	線	
ツァカン ツァカン	*	zakan-zakan			動詞	混乱している、無秩序である	
ツァカン ツァカン	*	zakan-zakan			名詞	地震	
ツァク		zaku			名詞	仲間	
ツァンタ		zanta			名詞	武器	
ツィㇰ		zik			名詞	敵	
ツィショ		zixo			文接続詞	さらに	
ツィセドㇽ		zicedol			名詞	歴史	
ツウォ		zuwo			名詞	ツウォ（一日の百分の一）	
ツェショ		zexo			名詞	写真	
ツェㇽ	*	ZEL			動詞	続く	
ツェㇽ	*	ZEL	ツェリㇳ	ZELIT	他動詞	～を続ける、～を継続する	
