親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
マウ		MAU			名詞	街、町、都市	
マカティ		MAKATI			名詞	マカティ【天神】（地名）	
マキナ		MAKINA			名詞	音楽	
マㇰ	*	mak			前置助動詞	再び～する、もう一度～する	
マㇰ	*	mak	マㇰレティ	makleti	数詞	2つの	
マㇰ	*	mak	マㇰ マㇰ	mak-mak	前置助動詞	繰り返し～する	
マㇰラウツァイㇳ		MAKLAUZAIT			動詞	作り直す、復興する	
マニソマ		manicoma			名詞	マニソマ	
マペ	*	MAPE			名詞	禁忌、タブー	
マペ	*	MAPE	マペイㇳ	MAPEIT	動詞	強く禁じる	
マㇽ		MAL			名詞	都市、町、街	
マㇽサ		MALCA			名詞	母	
マルㇲティノ		MALUCTINO			名詞	粘着テープ、テープ	
マㇽセ		malce			名詞	母	
マルㇷ゚		malup			動詞	危ない	
マワラ		MAWALA			名詞	マワラ【草地】（地名）	
マンマナ		manmana			名詞	マナナ、マンマナ【母島】（島名）	
ミ		mi			名詞	私	
ミㇰル		MIKLU			名詞	ミクル【橋鳥】（地名）	
ミㇲサ		micca			名詞	互い	
ミトゥワ		MITUWA			名詞	ミトゥワ【十果】（地名）	
ミリ		mili			動詞	待つ	
ムウィ		muwi			名詞	ムウィ、ムイ【魚】（人名）
メティオリユ		metioliju			名詞	考古学
メティサ		metica			間投詞	きっと～となるだろう、おそらく～となるだろう、～となりますように	
メティㇲ		METIC			名詞	可能性、見込み	
メナ		mena			名詞	友達	
メニㇲ		menic			名詞	島、民族自治区	
メㇽペタㇽ		melpetal			名詞	索引、目次、名簿、目録、リスト、一覧	
メレ	*	mele			名詞	近く	
メレ	*	mele			形容詞	近くの、似ている	
メロ		MELO			名詞	剣	
モ		mo			名詞	文化	
モウィ		MOWI			動詞	愚かだ	
モㇳ		mot			名詞	裏	
モニヤㇰタ		MONIJAKTA			名詞	素数	
モㇷ゚	*	MOP			動詞	真似をする、かたどる	
モㇷ゚	*	MOP	モビㇳ	MOBIT	他動詞	～の真似をする、～をかたどる	
モㇷ゚	*	MOP	モㇷ゚レティ	MOPLETI	形容詞	真似をしている、かたどっている	
モリㇷ゚	*	molip			特殊動詞	無い、存在しない	
モリㇷ゚	*	molip	モリㇷ゚レティ	molipleti	形容詞	不存在の	
モリㇷ゚カ		molipka	モリㇷ゚カイㇳ	molipkait	動詞	負ける	
モㇽ	*	mol			特殊動詞	ある、存在する　　備考：決して 〖leti〗 を伴わない	
モㇽ	*	mol			後置助動詞	～している　　　備考：アイルでは使用は稀	
モㇽカ	*	molka			動詞	勝利する	
モㇽカ	*	MOLKA			名詞	勝利	
