親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
ヤㇰ		jak			名詞	ヤㇰ【律】（人名）	
ヤサマリㇳ		jacamalit			他動詞	～を圧迫する、～に圧力をかける	
ユケネㇽ		JUKENEL			名詞	上限	
ユㇲティ		JUCTI			名詞	タケノコ	
ユㇲヌㇰ		jucnuk			動詞	驚く	
ユㇲネ		JUCNE			名詞	度量衡の単位	
ユセ		JUCE			名詞	団子	
ユタタ		JUTATA			名詞	声																	
ユナキラ		junakila			名詞	港																	
ユナㇲナ		junacna			名詞	ユーニャズナ島	
ユナリカ		JUNALIKA			名詞	港																	
ユㇷ゚		jup	ユㇷ゚レティ	jupleti	数詞	4個の	
ユミン		JUMIN			名詞	市場（いちば、しじょう）	
ユレ	*	jule			名詞	基本	
ユレ	*	jule	ユレレティ	juleleti	動詞	基本的な	
ユロ		julo			名詞	もの、こと	
ユン		jun			間投詞	～か？	
イェギン		jegin			名詞	イェーギン【石】（人名）																	
イェシェㇳ	*	jexet			名詞	根拠、証拠	
イェシェㇳ	*	jexet	イェシェティㇳ	JEXETIT	他動詞	明らかにする																	
イェㇲヌㇷ゚		jecnup			名詞	学校	
イェㇲレネ		JECLENE			名詞	ユエスレオネ	
イェテㇲテ		JETECTE			名詞	契約	
イェト		JETO			名詞	水	
イェトㇲタパン		JETOCTAPAN			動詞	水が付着している	
ヨ		jo			前置詞	～において、～へ、～から、～で、～によって	
ヨウㇷ゚		joup			名詞	歴史	
ヨコ		joko			名詞	ヨコ【直豊】/【牛豊】（人名）	
ヨヌㇲ		jonuc			動詞	苦しい、つらい	
ヨヤ		joja			名詞	兄弟	
ヨㇽ		jol			前置助動詞	～だろう、～しよう	
ヨンデㇽ		JONDEL			名詞	苦しみと空虚、虚苦	
